Run:Fill,DeliveredLS,Delivered(/ub),SelectedLS,Recorded(/ub)
202328:3036,556,72377100.1815,"[46-89], [92-111], [113-156], [158-276], [278-291], [294-434], [437-460], [463-586], [588-610], [612-614]",70794700.2361
202333:3036,235,23269455.0365,[1-235],23036067.4371
202389:3039,116,17860539.7638,"[81-182], [185-190], [192-199]",17305536.1151
202469:3045,254,37002859.9822,"[87-121], [123-158], [160-174], [177-219], [221-227], [229-231], [233-234], [236-238], [240-250], [252-268], [270-311], [313-352]",36128816.1082
202472:3045,110,13348880.8959,"[1-96], [99-112]",13086246.3056
202477:3045,149,16187133.6116,"[1-129], [131-150]",15872244.5067
202478:3045,1229,95283607.5291,"[1-177], [180-183], [186-219], [222-360], [362-506], [509-531], [534-718], [720-927], [929-973], [975-1029], [1031-1186], [1189-1212], [1215-1248]",94364681.5844
202504:3047,1579,140771786.673,"[77-96], [99-132], [135-135], [137-139], [141-151], [153-157], [159-182], [184-211], [213-241], [243-307], [309-371], [373-392], [395-429], [431-518], [520-527], [529-617], [620-715], [718-763], [766-1172], [1174-1247], [1250-1422], [1424-1430], [1433-1443], [1446-1448], [1450-1455], [1457-1471], [1474-1484], [1486-1493], [1495-1501], [1503-1541], [1543-1549], [1551-1559], [1561-1563], [1565-1588], [1590-1591], [1593-1602], [1604-1662], [1664-1679], [1682-1704]",138895622.181
202972:3067,535,57531735.851,"[1-30], [33-184], [186-290], [292-295], [298-371], [374-429], [431-544]",56825991.8646
202973:3067,1324,83859917.3138,"[1-28], [30-106], [108-166], [168-168], [170-177], [179-234], [237-305], [308-433], [435-437], [439-530], [532-541], [544-552], [555-834], [836-851], [853-862], [865-868], [871-876], [879-912], [915-938], [941-950], [953-954], [957-970], [973-978], [981-986], [989-998], [1001-1022], [1027-1034], [1037-1042], [1045-1064], [1067-1074], [1077-1088], [1091-1096], [1099-1112], [1115-1116], [1119-1126], [1129-1130], [1133-1134], [1137-1158], [1161-1166], [1169-1178], [1181-1194], [1197-1200], [1203-1204], [1207-1343], [1345-1368], [1374-1408]",83221812.255
203002:3071,1493,139015058.455,"[77-128], [130-141], [144-207], [209-267], [270-284], [286-298], [301-360], [362-501], [504-641], [643-669], [671-671], [674-717], [720-1034], [1037-1070], [1073-1370], [1372-1392], [1395-1410], [1413-1596]",136961877.835
203709:3087,121,738160.00683,[1-121],730714.523555
203742:3102,29,650894.329766,[1-29],639086.362522
